,id,lat,lon,addr:city,addr:housenumber,addr:state,addr:street,name,phone,capacity,addr:postcode,contact:instagram,email,postal_code,instagram,twitter,addr:housename,location,addr
0,418520887,40.636934,-74.076656,Staten Island,208,NY,Bay Street,Everything Goes Book Cafe,,,,,,,,,,,
1,419360003,40.6647223,-73.9895351,,,,,La Fondita,+1-718-600-9884,,,,,,,,,,
2,419360064,40.6901914,-73.9935675,,,,,Mocha Hookah,,,,,,,,,,,
3,419367394,40.7477067,-73.9772631,,,,,Perk Kafe,,,,,,,,,,,
4,419367529,40.810011,-73.9431823,,,,,Lenox Coffee,,2,,,,,,,,,
5,534997494,40.6611342,-73.9902727,,652,,6th Avenue,Southside Coffee,+1-347-599-2884,,11215,,,,,,,,
6,560636265,40.7032771,-74.0141339,New York,1,NY,Battery Park Plaza,Starbucks,+1 212-482-1180,,10004,,,,,,,,
7,561239802,40.7481687,-73.9766084,,564,,3rd Avenue,Cafe Delecctica,,,10016,,,,,,,,
8,662894338,40.7522171,-73.9911323,New York,225,NY,West 35th Street,Best Bagel & Coffee,+1 212-564-4409,10,10001,https://www.instagram.com/bestbagelnyc,bestbagel@gmail.com,,,,,,
9,663070723,40.757084,-73.977893,New York,6,NY,East 48th Street,Toasties,+1 212-230-1320,,,,,,,,,,
10,663355907,40.7786106,-73.9606629,,,,,City Market Cafe,,,,,,,,,,,
11,672800424,40.725087,-73.9777631,,700,,East 9th Street,9th St Espresso,,,10009,,,,,,,,
12,702331265,40.6430379,-74.1043496,,,,,Café Botanica,,,,,,,,,,,
13,746176794,40.7938416,-73.9727702,New York,2525,NY,Broadway,Starbucks,+1 212-316-0374,,10025,,,,,,,,
14,835414667,40.8052757,-73.9624308,,1090,,Amsterdam Avenue,Niko Coffee,+1-212-666-3744,,,,,,,,,,
15,870317225,40.7593049,-73.952923,New York,455,NY,Main Street,Starbucks,+1 212-371-1298,,10044,,,,,,,,
16,883181314,40.7491,-73.983903,New York,373,NY,5th Avenue,Starbucks,+1 212-213-5363,,10016,,,,,,,,
17,883235940,40.7481846,-73.985687,New York,350,NY,5th Avenue,Starbucks,+1 212-564-9141,,10118,,,,,,,,
18,886175538,40.7254132,-73.992406,,1,,Bleecker Street,Think Coffee,,,,,,,,,,,
19,886702490,40.7272065,-73.9954808,,665,,Broadway,Starbucks,+1-917-534-0799,,,,,,,,,,
20,888984017,40.7174274,-73.9583326,Brooklyn,198,NY,Bedford Avenue,Doughnut Plant,,,11249,,,,,,,,
21,889080115,40.7149297,-74.0110479,,,,,Twin Cafe,,,,,,,,,,,
22,889083044,40.7151714,-74.0110643,,275,,Greenwich Street,Kaffe 1668,,,,,,,,,,,
23,889261891,40.7145898,-74.0151484,New York,102,,North End Avenue,Pick-a-Bagel,,,10282,,,,,,,,
