coffeepk,lat,lon,name,city,state,street,rating,numofratings,tile
1,40.810011,-73.9431823,Lenox Coffee,New York,NY,Unknown Street,0.0,0,13603_-24648
2,40.7032771,-74.0141339,Starbucks,New York,NY,Battery Park Plaza 1,0.0,0,13567_-24672
3,40.7481687,-73.9766084,Cafe Delecctica,New York,NY,3rd Avenue 564,0.0,0,13582_-24659
4,40.7522171,-73.9911323,Best Bagel & Coffee,New York,NY,West 35th Street 225,0.0,0,13584_-24664
5,40.757084,-73.977893,Toasties,New York,NY,East 48th Street 6,0.0,0,13585_-24660
6,40.7786106,-73.9606629,City Market Cafe,New York,NY,Unknown Street,0.0,0,13592_-24654
7,40.725087,-73.9777631,9th St Espresso,New York,NY,East 9th Street 700,0.0,0,13575_-24660
8,40.7938416,-73.9727702,Starbucks,New York,NY,Broadway 2525,0.0,0,13597_-24658
9,40.8052757,-73.9624308,Niko Coffee,New York,NY,Amsterdam Avenue 1090,0.0,0,13601_-24655
10,40.7593049,-73.952923,Starbucks,New York,NY,Main Street 455,0.0,0,13586_-24651
11,40.7491,-73.983903,Starbucks,New York,NY,5th Avenue 373,0.0,0,13583_-24662
12,40.7481846,-73.985687,Starbucks,New York,NY,5th Avenue 350,0.0,0,13582_-24662
13,40.7254073,-73.9923897,Think Coffee,New York,NY,Bleecker Street 1,0.0,0,13575_-24665
14,40.7272065,-73.9954808,Starbucks,New York,NY,Broadway 665,0.0,0,13575_-24666
15,40.7149297,-74.0110479,Twin Cafe,New York,NY,Unknown Street,0.0,0,13571_-24671
16,40.7151714,-74.0110643,Kaffe 1668,New York,NY,Greenwich Street 275,0.0,0,13571_-24671
17,40.7145898,-74.0151484,Pick-a-Bagel,New York,NY,North End Avenue 102,0.0,0,13571_-24672
18,40.7149567,-74.0094239,Le Pain Quotidien,New York,NY,Unknown Street,0.0,0,13571_-24670
19,40.715522,-74.008983,Starbucks,New York,NY,Chambers Street 125,0.0,0,13571_-24670
20,40.780542,-73.954568,Le Pain Quotidien,New York,NY,Lexington Avenue 1309,0.0,0,13593_-24652
21,40.7246121,-73.9843772,Cafe Social 68,New York,NY,Unknown Street,0.0,0,13574_-24662
22,40.7671831,-73.9720578,Dancing Crane Cafe,New York,NY,Unknown Street,0.0,0,13589_-24658
23,40.7504996,-73.9791604,Starbucks,New York,NY,Park Avenue 90,0.0,0,13583_-24660
24,40.7518527,-73.9775605,Starbucks,New York,NY,Unknown Street,0.0,0,13583_-24660
25,40.767389,-73.9814374,Le Pain Quotidien,New York,NY,Unknown Street,0.0,0,13589_-24661
26,40.7675105,-73.9829426,Starbucks,New York,NY,Columbus Circle 4,0.0,0,13589_-24661
27,40.7676336,-73.9812871,Starbucks,New York,NY,Central Park South 240,0.0,0,13589_-24661
28,40.7649496,-73.979109,Starbucks,New York,NY,Unknown Street,0.0,0,13588_-24660
29,40.7566623,-73.9858678,Starbucks,New York,NY,Broadway 1500,0.0,0,13585_-24662
30,40.7566921,-73.9867194,Europa Cafe,New York,NY,Times Square 3,0.0,0,13585_-24663
31,40.7539377,-73.9768745,The Beer Bar Cafe Centro,New York,NY,Unknown Street,0.0,0,13584_-24659
32,40.7543596,-73.9763714,Starbucks,New York,NY,Unknown Street,0.0,0,13584_-24659
33,40.7529578,-73.9752216,Starbucks,New York,NY,Unknown Street,0.0,0,13584_-24659
34,40.7523179,-73.9738176,Maman,New York,NY,East 44th Street 155,0.0,0,13584_-24658
35,40.7520527,-73.9759313,Starbucks,New York,NY,Unknown Street,0.0,0,13584_-24659
36,40.750611,-73.9768239,Zucker's Bagels & Smoked Fish,New York,NY,Lexington Avenue 370,0.0,0,13583_-24659
37,40.7519302,-73.978195,Central Cafe,New York,NY,Unknown Street,0.0,0,13583_-24660
38,40.7519234,-73.9797222,Starbucks,New York,NY,Madison Avenue 295,0.0,0,13583_-24660
39,40.7528897,-73.9811056,Andaz,New York,NY,Unknown Street,0.0,0,13584_-24661
40,40.7545385,-73.9840441,Wafels and Dinges,New York,NY,Unknown Street,0.0,0,13584_-24662
41,40.7490233,-73.9822288,Starbucks,New York,NY,Madison Avenue 200,0.0,0,13583_-24661
42,40.7433913,-73.9892649,Broadway Cafe,New York,NY,Broadway 1123,0.0,0,13581_-24664
43,40.7538901,-73.9787699,Starbucks,New York,NY,Madison Avenue 340,0.0,0,13584_-24660
